Time [s], O2 [raw], CO2 [ppm], Caliper [deg C], Disk[deg C], Ambient [deg C],
129.0, 0.0, 3187.0, 17.0, 17.170, 16.940, 
129.0, 0.0, 3187.0, 17.0, 17.130, 16.950, 
130.0, 0.0, 3187.0, 17.0, 17.129, 16.889, 
130.0, 0.0, 3187.0, 17.0, 17.99, 16.920, 
130.0, 0.0, 3187.0, 17.0, 17.190, 16.930, 
131.0, 0.0, 3280.0, 17.0, 17.139, 16.930, 
131.0, 0.0, 3280.0, 17.0, 17.99, 16.930, 
131.0, 0.0, 3280.0, 17.0, 17.129, 16.930, 
132.0, 0.0, 3280.0, 17.0, 17.99, 16.940, 
132.0, 0.0, 3280.0, 17.0, 17.199, 16.900, 
133.0, 0.0, 3325.0, 17.0, 17.99, 16.930, 
133.0, 0.0, 3370.0, 17.0, 17.149, 16.930, 
133.0, 0.0, 3370.0, 17.0, 17.169, 16.889, 
134.0, 0.0, 3370.0, 17.0, 17.69, 16.940, 
134.0, 0.0, 3370.0, 17.0, 17.89, 16.960, 
134.0, 0.0, 6685.0, 17.0, 17.190, 16.960, 
135.0, 0.0, 3460.0, 17.0, 16.970, 16.910, 
135.0, 0.0, 3460.0, 17.0, 17.119, 16.960, 
136.0, 0.0, 3460.0, 17.0, 17.0, 16.940, 
136.0, 0.0, 3460.0, 17.0, 17.39, 16.950, 
137.0, 0.0, 10000.0, 17.0, 17.149, 16.910, 
137.0, 0.0, 3550.0, 17.0, 17.0, 16.900, 
137.0, 0.0, 3550.0, 17.0, 17.80, 16.930, 
138.0, 0.0, 3550.0, 17.0, 17.159, 16.930, 
138.0, 0.0, 3550.0, 17.0, 17.99, 16.930, 
139.0, 0.0, 3595.0, 17.0, 17.160, 16.940, 
139.0, 0.0, 3640.0, 17.0, 17.160, 16.960, 
139.0, 0.0, 3640.0, 17.0, 16.980, 16.889, 
140.0, 0.0, 3640.0, 17.0, 17.80, 16.940, 
140.0, 0.0, 3640.0, 17.0, 17.129, 16.910, 
140.0, 0.0, 3640.0, 17.0, 17.199, 16.900, 
141.0, 0.0, 3717.0, 17.0, 17.90, 16.930, 
141.0, 0.0, 3717.0, 17.0, 17.109, 16.970, 
142.0, 0.0, 3717.0, 17.0, 17.189, 16.950, 
142.0, 0.0, 3717.0, 17.0, 17.149, 16.889, 
142.0, 0.0, 3717.0, 17.0, 16.980, 16.930, 
143.0, 0.0, 3770.500, 17.0, 17.149, 16.940, 
143.0, 0.0, 3824.0, 17.0, 17.99, 16.930, 
143.0, 0.0, 3824.0, 17.0, 17.159, 16.989, 
144.0, 0.0, 3824.0, 17.0, 17.149, 16.930, 
144.0, 0.0, 3824.0, 17.0, 17.80, 16.970, 
144.0, 0.0, 3824.0, 17.0, 17.110, 16.900, 
145.0, 0.0, 3943.0, 17.0, 17.160, 16.920, 
145.0, 0.0, 3943.0, 17.0, 17.149, 16.979, 
146.0, 0.0, 3943.0, 17.0, 17.149, 16.960, 
146.0, 0.0, 3943.0, 17.0, 17.239, 16.970, 
146.0, 0.0, 3943.0, 17.0, 17.90, 16.940, 
147.0, 0.0, 4006.0, 17.0, 17.170, 16.950, 
147.0, 0.0, 4069.0, 17.0, 17.110, 16.900, 
147.0, 0.0, 4069.0, 17.0, 17.209, 16.949, 
148.0, 0.0, 4069.0, 17.0, 17.149, 16.920, 
148.0, 0.0, 4069.0, 17.0, 17.239, 16.920, 
148.0, 0.0, 4069.0, 17.0, 17.59, 16.970, 
149.0, 0.0, 4202.0, 17.0, 17.199, 16.940, 
149.0, 0.0, 4202.0, 17.0, 17.190, 16.940, 
150.0, 0.0, 4202.0, 17.0, 17.0, 16.940, 
150.0, 0.0, 4202.0, 17.0, 17.79, 16.930, 
150.0, 0.0, 4202.0, 17.0, 17.90, 16.960, 
151.0, 0.0, 10000.0, 17.0, 17.89, 16.950, 
151.0, 0.0, 4324.0, 17.0, 17.129, 16.950, 
152.0, 0.0, 4324.0, 17.0, 17.49, 16.900, 
152.0, 0.0, 4324.0, 17.0, 17.99, 16.910, 
152.0, 0.0, 4324.0, 17.0, 17.149, 16.930, 
153.0, 0.0, 10000.0, 17.0, 17.170, 16.970, 
153.0, 0.0, 4461.0, 17.0, 17.269, 16.979, 
154.0, 0.0, 4461.0, 17.0, 17.239, 16.929, 
154.0, 0.0, 4461.0, 17.0, 17.170, 16.920, 
154.0, 0.0, 4461.0, 17.0, 17.220, 16.960, 
155.0, 0.0, 4527.0, 17.0, 17.179, 16.900, 
