Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 508 Hz.  GPS lost
0:0:0, 55467.0088195, 0, 0.0, 0, 55.2124252, 137.088005, 0, 0, 0, -23.1000003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 56019.008789, 0, 0.0, 0, 54.1557464, 137.088005, 0, 0, 0, -25.2000007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 56076.008789, 0, 0.0, 0, 54.1557464, 137.088005, 0, 0, 0, -25.2000007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 56582.0088195, 0, 0.0, 0, 53.3950996, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 57154.0092849, 0, 0.0, 0, 52.5027198, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 57217.0092926, 0, 0.0, 0, 52.5027198, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 57737.0093383, 0, 0.0, 0, 51.4012908, 137.088005, 0, 0, 0, -25.2000007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 58331.0093078, 0, 0.0, 0, 50.5317001, 137.088005, 0, 0, 0, -18.8999996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 58387.0093078, 0, 0.0, 0, 50.5317001, 137.088005, 0, 0, 0, -18.8999996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 58936.0093383, 0, 0.0, 0, 49.6202773, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 58998.0093383, 0, 0.0, 0, 49.6202773, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 59552.0097961, 0, 0.0, 0, 48.5462532, 137.088005, 0, 0, 0, -23.1000003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 60181.0117263, 0, 0.0, 0, 47.6645812, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 60238.011734, 0, 0.0, 0, 47.6645812, 137.088005, 0, 0, 0, -17.8500003, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 60824.0117797, 0, 0.0, 0, 46.6565017, 137.088005, 0, 0, 0, -21, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 60883.0117797, 0, 0.0, 0, 46.6565017, 137.088005, 0, 0, 0, -21, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 61480.0119323, 0, 0.0, 0, 45.598278, 137.088005, 0, 0, 0, -21, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 62151.0120925, 0, 0.0, 0, 44.6213645, 137.088005, 0, 0, 0, -18.8999996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 62208.0121002, 0, 0.0, 0, 44.6213645, 137.088005, 0, 0, 0, -18.8999996, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 62836.0121459, 0, 0.0, 0, 43.7534828, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 62906.0121459, 0, 0.0, 0, 43.7534828, 137.088005, 0, 0, 0, -16.7999992, 0, 0, 0, 0, 0.0, 28.9311, 
0:0:0, 63537.0122375, 0, 0.0, 0, 42.6826476, 137.088005, 0, 0, 0, -19.9500007, 0, 0, 0, 0, 0.0, 28.9311, 
