Time (hh:mm:ss), Time (ms), Displacement (m), Sim Distance (m), GPS Speed (km/h), HallEff Speed (km/h), Target Speed (km/h), Sim Speed (km/h), Power (W), Cadence (rpm), Accel Force (N), Latitude (deg), Longitude (deg), Altitude (m), Heart Rate (bpm), Battery (V), Temperature (C),Begin calibration... Waiting for calibration messages.Received message 1. Received message 2. Received message 3. Received message 4. Received message 5. Received message 6. Calibration complete! Offset is: 508 Hz.  GPS lost
0:0:0, 117434.0268859, 0, 0.0, 0, 39.8696975, 137.088005, 0, 0, 0, -7.3499998, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 118205.0268707, 0, 0.0, 0, 38.810173, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 118996.0269165, 0, 0.0, 0, 37.8111953, 137.088005, 0, 0, 0, -8.3999996, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 119810.0274047, 0, 0.0, 0, 36.8133277, 137.088005, 0, 0, 0, -7.3499998, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 121498.0275573, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -562.8000182, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 122395.0277404, 0, 0.0, 0, 33.6778487, 137.088005, 0, 0, 0, 171.1500015, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 123304.0278625, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -497.7000427, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 124210.0280914, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 26.7369, 
0:0:0, 125111.0283279, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 126012.0283203, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.7643, 26.5101, 
0:0:0, 126930.0283813, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, 0, 0, 0, 0, 0, 9.7263, 26.5101, 
0:0:0, 127832.0288696, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 129587.0293273, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 130491.0293273, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 131395.0295104, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 132303.0296936, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 133209.0298004, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 134113.0300369, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.6700, 
0:0:0, 135017.0302734, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.5101, 
0:0:0, 135921.0303344, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.8080, 26.7369, 
0:0:0, 136829.0303344, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.7643, 26.5101, 
0:0:0, 138585.0307922, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.7643, 26.8963, 
0:0:0, 139496.0312805, 0, 0.0, 0, 0, 137.088005, 0, 0, 0, -1.0499999, 0, 0, 0, 0, 9.7643, 26.7369, 
