Position,Height,Notes,,Distance Down Course,Pre-Course,Braking,Post-Catch,Elevation,,Course Start,34000
Feet,Feet,,,,,,,,,,
12850,4666.4,,,,6446.52,,,1422.31872,,,
12900,4666.7,,,,6431.28,,,1422.41016,,,
12950,4667.1,,,,6416.04,,,1422.53208,,,
13000,4667.4,,,,6400.8,,,1422.62352,,,
13050,4667.8,,,,6385.56,,,1422.74544,,,
13100,4668,,,,6370.32,,,1422.8064,,,
13150,4668.3,,,,6355.08,,,1422.89784,,,
13200,4668.6,,,,6339.84,,,1422.98928,,,
13250,4668.8,,,,6324.6,,,1423.05024,,,
13300,4669.1,,,,6309.36,,,1423.14168,,,
13350,4669.5,,,,6294.12,,,1423.2636,,,
13400,4669.8,,,,6278.88,,,1423.35504,,,
13450,4670.1,,,,6263.64,,,1423.44648,,,
13500,4670.5,,,,6248.4,,,1423.5684,,,
13550,4670.8,,,,6233.16,,,1423.65984,,,
13600,4671.1,,,,6217.92,,,1423.75128,,,
13650,4671.4,,,,6202.68,,,1423.84272,,,
13700,4671.7,,,,6187.44,,,1423.93416,,,
13750,4672,,,,6172.2,,,1424.0256,,,
13800,4672.3,,,,6156.96,,,1424.11704,,,
13850,4672.6,,,,6141.72,,,1424.20848,,,
13900,4673,,,,6126.48,,,1424.3304,,,
13950,4673.3,,,,6111.24,,,1424.42184,,,
14000,4673.6,,,,6096,,,1424.51328,,,
14050,4674,,,,6080.76,,,1424.6352,,,
14100,4674.3,,,,6065.52,,,1424.72664,,,
14150,4674.7,,,,6050.28,,,1424.84856,,,
14200,4675.1,,,,6035.04,,,1424.97048,,,
14250,4675.5,,,,6019.8,,,1425.0924,,,
14300,4675.9,,,,6004.56,,,1425.21432,,,
14350,4676.3,,,,5989.32,,,1425.33624,,,
14400,4676.8,,,,5974.08,,,1425.48864,,,
14450,4677.2,,,,5958.84,,,1425.61056,,,
14500,4677.7,,,,5943.6,,,1425.76296,,,
14550,4678.1,,,,5928.36,,,1425.88488,,,
14600,4678.6,,,,5913.12,,,1426.03728,,,
14650,4679,,,,5897.88,,,1426.1592,,,
14700,4679.4,,,,5882.64,,,1426.28112,,,
14750,4679.8,,,,5867.4,,,1426.40304,,,
14800,4680.2,,,,5852.16,,,1426.52496,,,
14850,4680.6,,,,5836.92,,,1426.64688,,,
14900,4681,,,,5821.68,,,1426.7688,,,
14950,4681.4,,,,5806.44,,,1426.89072,,,
15000,4681.8,,,,5791.2,,,1427.01264,,,
15050,4682.2,,,,5775.96,,,1427.13456,,,
15100,4682.6,,,,5760.72,,,1427.25648,,,
15150,4683.1,,,,5745.48,,,1427.40888,,,
15200,4683.5,,,,5730.24,,,1427.5308,,,
15250,4683.9,,,,5715,,,1427.65272,,,
15300,4684.3,,,,5699.76,,,1427.77464,,,
15350,4684.6,,,,5684.52,,,1427.86608,,,
15400,4685,,,,5669.28,,,1427.988,,,
15450,4685.3,,,,5654.04,,,1428.07944,,,
15500,4685.6,,,,5638.8,,,1428.17088,,,
15550,4686,,,,5623.56,,,1428.2928,,,
15600,4686.3,,,,5608.32,,,1428.38424,,,
15650,4686.7,,,,5593.08,,,1428.50616,,,
15700,4687,,,,5577.84,,,1428.5976,,,
15750,4687.3,,,,5562.6,,,1428.68904,,,
15800,4687.7,,,,5547.36,,,1428.81096,,,
15850,4688,,,,5532.12,,,1428.9024,,,
15900,4688.3,,,,5516.88,,,1428.99384,,,
15950,4688.7,,,,5501.64,,,1429.11576,,,
16000,4689,,,,5486.4,,,1429.2072,,,
16050,4689.4,,,,5471.16,,,1429.32912,,,
16100,4689.7,,,,5455.92,,,1429.42056,,,
16150,4690,,,,5440.68,,,1429.512,,,
16200,4690.3,,,,5425.44,,,1429.60344,,,
16250,4690.7,,,,5410.2,,,1429.72536,,,
16300,4691,,,,5394.96,,,1429.8168,,,
16350,4691.3,,,,5379.72,,,1429.90824,,,
16400,4691.6,,,,5364.48,,,1429.99968,,,
16450,4692,,,,5349.24,,,1430.1216,,,
16500,4692.3,,,,5334,,,1430.21304,,,
16550,4692.7,,,,5318.76,,,1430.33496,,,
16600,4693.1,,,,5303.52,,,1430.45688,,,
16650,4693.5,,,,5288.28,,,1430.5788,,,
16700,4693.8,,,,5273.04,,,1430.67024,,,
16750,4694.2,,,,5257.8,,,1430.79216,,,
16800,4694.5,,,,5242.56,,,1430.8836,,,
16850,4695,,,,5227.32,,,1431.036,,,
16900,4695.4,,,,5212.08,,,1431.15792,,,
16950,4695.8,,,,5196.84,,,1431.27984,,,
17000,4696.1,,,,5181.6,,,1431.37128,,,
17050,4696.5,,,,5166.36,,,1431.4932,,,
17100,4696.9,,,,5151.12,,,1431.61512,,,
17150,4697.2,,,,5135.88,,,1431.70656,,,
17200,4697.6,,,,5120.64,,,1431.82848,,,
17250,4698,,,,5105.4,,,1431.9504,,,
17300,4698.4,,,,5090.16,,,1432.07232,,,
17350,4698.7,,,,5074.92,,,1432.16376,,,
17400,4699.3,,,,5059.68,,,1432.34664,,,
17450,4699.5,,,,5044.44,,,1432.4076,,,
17500,4700,,,,5029.2,,,1432.56,,,
17550,4700.4,,,,5013.96,,,1432.68192,,,
17600,4700.8,,,,4998.72,,,1432.80384,,,
17650,4701.2,,,,4983.48,,,1432.92576,,,
17700,4701.6,,,,4968.24,,,1433.04768,,,
17750,4701.9,,,,4953,,,1433.13912,,,
17800,4702.3,,,,4937.76,,,1433.26104,,,
17850,4702.7,,,,4922.52,,,1433.38296,,,
17900,4703,,,,4907.28,,,1433.4744,,,
17950,4703.4,,,,4892.04,,,1433.59632,,,
18000,4703.8,,,,4876.8,,,1433.71824,,,
18050,4704.1,,,,4861.56,,,1433.80968,,,
18100,4704.5,,,,4846.32,,,1433.9316,,,
18150,4704.9,,,,4831.08,,,1434.05352,,,
18200,4705.2,,,,4815.84,,,1434.14496,,,
18250,4705.5,,,,4800.6,,,1434.2364,,,
18300,4705.8,,,,4785.36,,,1434.32784,,,
18350,4706.2,,,,4770.12,,,1434.44976,,,
18400,4706.5,,,,4754.88,,,1434.5412,,,
18450,4706.8,,,,4739.64,,,1434.63264,,,
18500,4707.2,,,,4724.4,,,1434.75456,,,
18550,4707.5,,,,4709.16,,,1434.846,,,
18600,4707.8,,,,4693.92,,,1434.93744,,,
18650,4708.2,,,,4678.68,,,1435.05936,,,
18700,4708.5,,,,4663.44,,,1435.1508,,,
18750,4708.9,,,,4648.2,,,1435.27272,,,
18800,4709.3,,,,4632.96,,,1435.39464,,,
18850,4709.7,,,,4617.72,,,1435.51656,,,
18900,4710,,,,4602.48,,,1435.608,,,
18950,4710.4,,,,4587.24,,,1435.72992,,,
19000,4710.7,,,,4572,,,1435.82136,,,
19050,4711,,,,4556.76,,,1435.9128,,,
19100,4711.4,,,,4541.52,,,1436.03472,,,
19150,4711.7,,,,4526.28,,,1436.12616,,,
19200,4712,,,,4511.04,,,1436.2176,,,
19250,4712.4,,,,4495.8,,,1436.33952,,,
19300,4712.7,,,,4480.56,,,1436.43096,,,
19350,4713,,,,4465.32,,,1436.5224,,,
19400,4713.5,,,,4450.08,,,1436.6748,,,
19450,4713.9,,,,4434.84,,,1436.79672,,,
19500,4714.4,,,,4419.6,,,1436.94912,,,
19550,4714.8,,,,4404.36,,,1437.07104,,,
19600,4715.3,,,,4389.12,,,1437.22344,,,
19650,4715.8,,,,4373.88,,,1437.37584,,,
19700,4716.2,,,,4358.64,,,1437.49776,,,
